project_number,project_title,project_starts,project_ends,project_description,project_category,project_sector,project_budget,project_leader,project_inst,project_addr
311670,E!113747 Smart Personalization Of Prosthetic Arm Sockets,2020,2022,"Hy5 aims to disrupt the existing value chain by empowering a digital revolution from the installed cast-based paradigm to a fully automated workflow, not only increasing the overall process efficiency but also the reliability, durability and comfort of the resulting socket. 

Hy5 aims to team up with trinckle - an award-winning innovation leader in 3D CAD automation - to develop the world’s first smartphone-enabled, AI-driven, cost-effective and user-friendly digital workflow for limb socket automated design & manufacturing.

SmartFit will facilitate the process of personalization and manufacturing upper limb prosthetic sockets by creating a digital platform enabling to digitalize and automate the process of custom tailoring prosthetic arm sockets. Hereto, we plan to build a dynamic 3D model of the patient’s stump using smartphone cameras combined with advanced deep learning methods for accurate 3D surface reconstruction. It is mandatory and a priority of the system to consider the stump characteristics such as anatomy, volume, density of soft tissue, residual bone positioning and skin scar placement in order to design and create the adequate fitting of the socket in particular places such as those of pressure and/or support. Once this information is available, a customized arm socket will be created by morphing a parametric template to the patient-specific anatomy, while building from annotated data from prosthetists typical adaptations to minimize the need for manual adjustments. With SmartFit, the workflow from the modelling of the patient’s residual limb to the 3D printing of highly effective and comfortable socket will shift from the conventional crafting procedure to a fully automated, digitally-supported process.

At the end of the project, a range of different sized SmartFit prototypes will be ready for certification. In order to speed-up commercialization, several preparatory activities are planned to take place prior project completion.",Næringsliv,Næringsliv,4926000,Bjørn Olav Bakka,HY5PRO AS,Vestre Toten
311680,AI4Users: Responsible Use of Artificial Intelligence through Design for Accountability and Intelligibility,2020,2024,"Infusing public services with AI solutions can contribute to efficiency and effectiveness improvements but this may come with an increase in opaqueness. This opaqueness can pose limits on involving humans in shaping, operating and monitoring the arrangements in place ensuring meaningful human control. The responsible use of AI entails ensuring algorithmic intelligibility and accountability. Intelligibility means that algorithms in use must be intelligible as to their state, the information they possess, their capabilities and limitations. Accountability means that it is possible to trace and identify responsibility for the results of algorithms. Both are required for using algorithms under human oversight. The AI4Users project will contribute to the responsible use of AI through the design and assessment of software tools and the formalisation of design principles for algorithmic accountability and intelligibility. 
The project takes a human-centred perspective addressing the needs of different groups implicated in AI-infused public services: citizens, case handlers at the operational level, middle managers and policy makers. The novelty of the AI4Users is that it targets specifically non-experts extending the reach of research beyond AI experts and data scientists. The use cases to be employed by the project will address different oversight scenarios including human-in-the-loop, human-on-the-loop and human-in-command. The User Organisation will be NAV and the project will be associated with NAV’s AI lab. The project research will be linked to NAV´s ongoing AI work and specific AI solutions under deployment. The project will seek access to case handlers in local NAV offices and NAV´s permanent local and national user committees (NAV Brukermedvirkning lokalt & nasjonalt). 
The overall aim is to advance the public infrastructures and contribute to introducing human-friendly and trustworthy artificial intelligence in practice.",Universiteter,UoH-sektor,15953000,Polyxeni Vasilakopoulou,Institutt for informasjonssystemer,Kristiansand
311711,Climy: Human-Centric Building Automation,2020,2020,"Xigrid Technologies AS has developed a human-centric building automation solution powered by artificial intelligence. The solution improves occupant physical and mental wellness, optimizes energy consumption, and gamifies reduction of individual carbon footprint. Xigrid Technologies AS will lead the project, which will focus on the market launch and commercialization of our first building automation solution. 

The main barriers for Xigrid Technologies AS going forward are related to market awareness, acceptance to end-users, product scale-up and securing commercialization partners. This project will enable: 1) maturing and refining the minimum viable product (MVP); 2) exploring further technological development for algorithms; 3) conducting pilot demonstrations of the MVP in relevant markets; 4) business development to build a community for ""sustainability"" and ""comfort"" at workplaces. 

The EIC Accelerator program provides a unique opportunity for Xigrid Technologies AS to showcase the potential of its technology and gain market intelligence that will ultimately lead to acceptance by end-users. The completion of the project objectives is important for ensuring a successful entrance to the market and commercialization of our innovative building automation solution.",Næringsliv,Næringsliv,75000,Dmytro Prisikar,XIGRID TECHNOLOGIES AS,Oslo
311714,Towards Artificial Intelligent Maintenance System (AIMS) via Predictive Failure Modelling and Numerical simulation,2020,2023,"Safety of marine constructions is fundamentally dependent on corrosion control by protective coatings and their maintenance. Coating maintenance is expensive and has safety challenges. To determine the optimal time to perform coating maintenance is difficult since several issues must be considered at the same time, like economy, logistics, safety without compromising the integrity of the construction or the safety workers. Intelligent decision support systems (DSS) will aid the maintenance optimization. The introduction of sensor- and drone photo monitoring enables intelligent predictive maintenance systems and decision support systems also for coatings. This process can become even more effective if predictive simulations can forecast coating degradation and corrosion induced damage. Sensors and automatic inspections are now being introduced and deliver (computationally) useful information. Key to the success of this revolution is that information can be extracted from the data. Developing sensors, computational models, software tools and AI for this purpose is the technical objective of this project.
The project consists of four main technical developments:
· Laboratory investigation of correlation between environmental parameters and coating degradation to fill the holes in our current understanding
· Development of acoustic sensors for monitoring coating degradation. Inspection of atmospheric coatings is achieved by photo, aided by drones, which is known technology
· Development of a neural network (AI) for analysing sensor data, picture data and simulation data on coating degradation · Development of a model to predict the coating degradation rate and corrosion from the current state, and future need for coating maintenance
TAIFUN will start at TRL4 with the goal to achieve TRL6 where the modelling approach will be tested, calibrated, verified and validated on damage scenarios defined by industrial partners. Duration of the project is 3 years.",Teknisk-industrielle institutter,Instituttsektor,4830000,Ole Øystein Knudsen,SINTEF AS,Trondheim
311741,"Arne Næss Symposium 2020 with Anthony Giddens as Arne Næss Professor: ""Nature and Humanity in the Age of Artificial Intelligence""",2020,2021,"Project description:
The Arne Næss Symposium is part of the Arne Næss programme at the University of Oslo established in 2007. Based at the Center for Development and the Environment at UiO, the Arne Næss Chair and Symposium are today the only ongoing project that preserves and critically develops the intellectual legacy after Arne Næss. The Arne Næss professors – who represent leading international scholars working on the questions of global justice and the environment – are invited to engage with the Norwegian researchers, students, NGOs and the public sphere. They are also encouraged to carry on the Socratic quest that imbues Næss’s philosophy.

The preliminary title of the 2021 Arne Næss Symposium – featuring one of the leading world sociologists, prof. Anthony Giddens  -  is ""Nature and Humanity in the Age of AI"".  The aim of the 2021 Symposium will be to illuminate the consequences the AI  civilization will have for our conceptions of humanity and nature. Do we need new ethical foundations in the age of AI? The Symposium will also inquire into the ways in which Artificial Intelligence will influence our solutions to the climate crisis.",Universiteter,UoH-sektor,100000,Nina Witoszek,Senter for utvikling og miljø (SUM),Oslo
311809,STUD: Sensorita - Data-Driven Waste Management,2020,2021,"Waste collection is an area that has seen little innovation over the last few decades, and there is hardly any transparency in the value chain. Lack of sufficient information makes it problematic for stakeholders within the industry to make informed decisions, to measure the effect of initiatives and to increase their efficiency.
Sensorita’s mission is to help our customers increase the rate of recycling by providing cutting-edge analytics. Insight into consumer behavior and waste trends enables more efficient waste management through better planning, logistics and waste collection. By using Sensorita in operations, the customers will cut costs and CO2 emissions associated with ineffective waste collection.

Sensorita aims to become a global supplier of data-driven waste management analytics. Enabling large-scale implementation of sensors in the area of waste collection will provide end-to-end data insights that result in a more transparent value chain.

The goal of the STUD-ENT-project is to utilize the collaboration with Asker municipality to gain more insight into the customers’ demands and how they can be met effectively. Asker municipality will be used as a reference case to illustrate where Sensorita can generate the most value for the customer and to develop a plan for further scale-up. The project results will be used to develop and verify the business model as a basis for further commercialization. At the end of the STUD-ENT-period, Sensorita aims to initiate a larger pilot project with Asker municipality and/or other collaboration partners, to demonstrate a full scale implementation of sensors in household waste management. This will strengthen our business case further and is an important step towards commercialization.",Næringsliv,Næringsliv,1000000,Emil Skar,SENSORITA AS,Oslo
311829,Geilo Winter Schools 2021-2025,2020,2025,"E-vitenskap er et viktig fagområde for å løse nåværende og kommende samfunnsutfordringer, og dekker samtidig noen av de vitenskapelige temaene hvor utviklingen går raskest. Det er dermed et klart behov for arenaer hvor (særlig unge) forskere og utøvere innen feltet kan møtes og oppdateres på nyheter direkte fra forskningsfronten, og samtidig utveksle erfaringer og kontaktinformasjon. 

Vinterskolene på Geilo avholdes årlig i januar, og samler deltakere, primært doktorgradsstudenter og postdoktorer, fra Norge og utlandet for et ukelangt program der internasjonale og norske forelesere formidler aktuelle tema fra forskningsfronten med vekt på aktiv læring. I tillegg til det faglige innholdet får deltakere kontakt med andre forskere i samme fase av karrièren og anledning til å knytte kontakter som de kan ha glede av gjennom hele sitt yrkesliv.

Arrangementene har pågått gjennom 20 år, og har dermed lang tradisjon for å bringe sammen unge forskere og etablerte foredragsholdere på tvers av fagområder og institusjoner. I perioden 2001-2020 har godt over 1000 personer vært innom skolene, og flere hundre foredrag innen e-vitenskap har blitt gitt innen temaer som partielle differensiallikninger, visualisering, high performance computing, stordata, maskinlæring og mer.

Med dette prosjektet ønsker vi å forlenge dette meget vellykkede arrangementet i perioden 2021-2025.",Teknisk-industrielle institutter,Instituttsektor,2000000,Torkel Andreas Haufmann,SINTEF DIGITAL,Trondheim
311844,STUD: Tap.IT AS,2020,2021,"«Tap.IT» is a sensor-solution that leverages new technology (Embedded Machine Learning) in order to mitigate issues related to food-safety and quality in the food service industry (Horeca). Our ambition is to become a global provider of insight related to the sales and distribution of wine and beer by providing a solution that enables more data-driven decision-making for the global brewery-industry. Data from «Tap.IT» will facilitate more transparency through the value-chain (brewery distributer end-user), where we will generate customer-value by providing more predictable operations by using real-time consumption-data in operations related to planning of sales and maintenance. Our product-solution proposition is based on in-depth knowledge of the industry through years of working as a supplier of draft beer-equipment and running a bar. Through our network we have performed several in-depth interviews of potential customers in order to gain more insight about the nature of the problems that needs solving. From the customer-dialogue the project-team have identified issues food-safety and product-quality due to the lack of maintenance of tap (draft) equipment. In combination with “state-of-the-art” knowledge about micro-controller units (MCUs) and Machine Learning the project team is confident in providing the customer a cost-effective solution that will generate value from day one. During the Forny-project period the focus will be on industrialization of the sensor-solution in collaboration with partners and establish a beachhead-market in the brewery-segment through extensive testing with pilot-customers (attachment - letters of intent ) we hope to prove a marked-product fit.",Næringsliv,Næringsliv,1000000,Balder Klanderud,TAP.IT AS,Oslo
311864,STUD: Disputas - A platform for analysis and critical reflection.,2020,2021,"Understanding patterns, and training students to automatically see them, is the most important objective of courses in analytical subjects. For many forms of analysis, the relevant patterns are much easier to grasp if they are displayed visually. Therefore students today still use pen and paper when engaged in these forms of analysis. 

With knowledge from philosophy and informatics, the project group aims to make an interactive digital environment for textual analysis, supporting visualization in the manner students and professors currently do with pencils and sheets of paper. We would also like to employ the data generated from these analyses to develop innovative machine learning technology. 

The main aim of the project is to develop a functional platform for analysing text. The biggest challenge is going to make analysis intelligible, fun and engaging to students through a digital medium. 

The team is comprised of three students of informatics with different skill-sets. Anders has a deep familiarity with machine learning methods in language technology, and is currently writing a masters degree on machine analysis. Andreas has experience as a fullstack developer and has made webapplications from scratch before. He is also familiar with modern UX design. Paal has a masters degree in philosophy, and has a deep familiarity with linguistics and logic. The team is motivated to work on the project because they believe it might help the public debate climate, and because they think the idea might be the backbone of a new generation of machine analysis services. 

The academic institution helps with relevant expertise and a work environment through insj. 

The support from Forskningsrådet will be used to develop an MVP that will be refined throughout the project period. This will result in a fully functional platform by the beginning of the fall semester of 2021.",Næringsliv,Næringsliv,1000000,Anders Næss Evensen,DISPUTAS AS,Oslo
311887,E!113703 Seismic Horizon Artificial Intelligence Regeneration,2020,2022,"SHAIR will create a new software service that will deliver highly accurate interpretation of seismic data to determine the likely presence of oil or gas.

We will achieve this by a novel Machine Learning implementation that combines two known but disparate tools. The output of each tool can be used as the input of the other tool, so by looping round we can produce more and more accurate results, cancelling out noise and errors to continuously improve accuracy of results. (See Fig. 12 Annex)

RRG's technology currently contains an AI driven horizon interpretation with minimal human interpretation. It takes in migrated stacks in the time domain. It uses their improved Geophysics-guided Neural Networks (GNNs) innovation of Convolutional Neural Networks (CNNs) to detect discontinuities in the rock structure, and interprets these as 'horizons'.

S3's Technology, XWI, is the result of 20 years development covered by many patents. It is an advancement of traditional Full-Waveform Inversion (FWI). It produces high quality 3D Velocity models in assessing shallow anomalies.

The main result will be a novel suite of tools available to oil companies as a SaaS product via which the companies will pay to more accurately analyse their data.

The new technology will combine S3's XWI technology making use of velocity models to better constrain the automatic interpretation done by RRG's GNN. Pre-processed and migrated data will be the inputs for the AI interpretation.

The main result will be a new service using our experience to date of ML to create a service that would be more cost effective for oil companies than the traditional method of analysis to discover oil. Oil companies will become more profitable via better analysis and a higher rate of success. This improved interpretation of data should reduce the likelihood of drilling of oil or gas which results in none being found and therefore can help the environment and waste of such incidents.",Næringsliv,Næringsliv,3375000,Åsmund Heir,RAGNAROCK GEO AS,Oslo
311891,BlueBio - Optimizing land-based fish production in next generation digital recirculating aquaculture systems,2020,2023,"Recirculating aquaculture systems (RASs) have been developed for land-based production of sea- and freshwater species. These systems are designed to provide high biomass production while reducing resource usage and maximizing control of operational parameters. However, only a few of these parameters are systematically monitored, and currently applied analysis techniques are often insufficiently sensitive, slow or laborious. Consequently, the full potential of RASs for more sustainable food production remains unexploited. The over-all goal of the DIGIRAS project is to develop innovative and data-driven solutions for digitalization of future RAS technology in order to increase environmental compatibility, fish health and productivity. The project intends to reach this goal by systematic acquisition of relevant water quality data, parameterization of fish behaviour, developing new biological and chemical sensors and efficient water treatment technology. DIGIRAS will strive to integrate all generated data towards decision support and predictive tools for next generation digital RAS operation. In DIGIRAS, R&D institutions with strong competence in (micro)biology and chemistry, fish health, video monitoring/machine learning, modelling and water treatment technology will join forces with industrial partners from the fish farming and RAS technology sector. Together, this consortium will contribute to improve land-based fish farming technology significanlty, with respect to animal health, production conditions, environmental benefits and sustainability. Moreover, DIGIRAS aims at contributing to more sustainable growth in the aquaculture sector by developing new technologies, and thus, generating new jobs in infrastructurally less developed areas in Europe.
In DIGIRAS, 6 R&D institutions and 5 industry partners (1 external contributor) from 5 participating European countries will collaborate for 36 months with a total funding budget of 1.68 Mio € (project budget 1.94 Mio €).",Teknisk-industrielle institutter,Instituttsektor,6480000,Roman Netzer,SINTEF OCEAN AS,Trondheim
311902,Sensor Validation for Digital Twins of Safety-Critical Systems,2021,2024,"The project shall develop a systematic framework for sensor-fault detection, isolation, and accommodation by forcing a paradigm shift towards the development and the integration of signal processing and machine learning methodologies into novel hybrid-analytics solutions. Building upon ground-breaking concepts from graph signal processing, deep learning and transfer learning, SIGNIFY shall design and test tailored strategies from a Bayesian perspective to be used as tools for sensor validation when importing data from physical assets into digital systems.
Designing optimization strategies exploiting real-time real-world data from sensors is one main value from the digital transformation. Unfortunately, sensors are prone to failures and injection of corrupted data into digital twins generates erroneous planning. When operating in closed loop, erroneous planning may lead to consequences ranging from performance degradation to lack of safety and risk of danger. The need for a validation tool before injecting sensor data into the digital twin is urgent in safety-critical applications. 
Among relevant areas, Industry 4.0 focuses on development of safety-critical systems, where the high level of accuracy is needed when validating sensor data. In these systems it is hard to predict a malfunction by looking at the data without prior knowledge of the underlying phenomenon. Results from SIGNIFY will be general enough to apply to a large variety of scientific/application domains, however during the project 2 uses cases within the Industry 4.0 framework will be considered: 
(UC1) Flow Assurance for CO2 Transport Operations;
(UC2) Low-Temperature CO2 Liquefaction and Phase Separation for Carbon Capture.
The facilities selected will allow the integration of physical models to benchmark sensor data and fit the Bayesian approach employed in SIGNIFY to combine signal processing and machine learning techniques. Performance improvement will be assessed in terms of validation accuracy.",Universiteter,UoH-sektor,15914000,Pierluigi Salvo Rossi,NTNU FAKULTET FOR INFORMASJONS- TEKNOLOGI OG ELEKTRONIKK,Trondheim
311965,BeeFutures - making beekeeping sustainable again,2020,2020,"The overall vision of the BeeFutures EIC Accelerator Pilot project is to prototype, pilot and commercialise our complete solution for beekeeping, which will be tailor-made for the specific needs of the apiculture market. The BeeFutures Hive is a hospital and a shelter for the bees as well as a data capture centre. Our revolutionary high-tech Hive contains remote controlled mechanisms, sensors, cameras, micro-climate controls a protective entrance and trap against hornets and a breakthrough biotech to heal bees mitochondria powered luminescence to reserve the undermining effects of pesticides and stress factors. The Hive protects and heals bees with an 80% mortality reduction while boosting honey production with 30%. As part of our solution we have developed a data and machine learning cloud platform. Fuelled by the data captured in BeeFutures Hives, the data platform will assess bee health at scale and pollination coverage.

The aim of the envisaged project is to move our current prototype technology to full commercialisation onto the global market. The BeeFutures technology has a major market potential compared to current state-of-the-art technologies. To increase our commercial success and impact, we have created a Strategic Business Plan, as a detailed roadmap, describing all necessary activities we need to undertake to ensure a successful market introduction. Now, we seek to develop our Commercialisation Plan (CP), which will form an important part of the final Business Innovation Plan (BIP), to be created in this Accelerator Pilot project. As the envisaged Accelerator Pilot project builds upon a validated Hive prototype technology, the majority of our efforts will be focused on piloting and commercialisation activities.",Næringsliv,Næringsliv,75000,Rune-Kjetil Skogen,BEEFUTURES HOLDING AS,Oslo
311987,WAIT (Wenn artificial intelligence technology): Pioneering fully automated claims handling solution,2020,2021,"Wenn develops innovations to provide solutions for all actors within the insurance industry. In just 2 year since we identified the pains in the claims handling process, we have developed and tested a proprietary AI-driven engine that uses computer vision and a set of machine learning techniques to automatically identify and appraise car damages and provide highly accurate cost report. Our pioneering solution will radically transform the claims handling process for insurance companies, auto repair shops and claimants. It is an end-to-end solution that also has the flexibility to easily integrate into any legacy system. The engine is a cloud-based, white-label SaaS. Unlike any competitor, our use of 3D imaging ensures we can provide automatic accurate cost reports (parts and work hours) based on surface and internal damage instantly. Our edge-based app solution uses the camera and accelerometer to guide the claimant through the image capturing process.  Claims handling is critical for value creation within an insurance company due to its significant impact on loss ratio, cost ratio and the overall customer experience – the 3 most important factors affecting industry profitability. Nevertheless, insurance claims handling systems are outdated, inefficient, costly and subjective. The current claims handling process is further cumbersome, tedious and complicated for all players in the value chain. 

The 24 month WAIT project will involve involve 4 main development areas.

1) Three distinct MVPs;
a. improving the appraiser engine with techniques to create digital car damages for enhancing Ai-algorithms
b. develop full solution for garage mode 
c. develop a fixed setup (rig) for 247 access to the public to perform car damage assessment

2) A full solution for the customer journey, including policy interpreter, insurance coverage comparison, and integration and innovative enhancement of existing insurance companies solutions..",Næringsliv,Næringsliv,75000,Rolf Atle Seloter,WENN AS,Sandnes
311993,Precision Medicine Interventions in Alzheimer’s Disease,2020,2022,"AD is a devastating and incurable brain disorder causing the majority of dementia cases. AD is defined by common biological criteria and develops on a biological continuum where the disease course includes preclinical periods and starts long before dementia appears. Genetic risks and disease pathways differ between AD subgroups and precision-medicine (PM) approaches are required to develop successful interventions. The PMI-AD consortium will exploit our world-leading technologies and competences to stratify early-stage AD patients using novel mechanistic pathway-to-therapeutic algorithm to develop cost-effective, pathway-adapted diagnostics and early interventions to delay disease onset. We hypothesize that PM can be delivered based on optimized diagnostic tools utilizing innovative pathways and prediction modelling. PMI-AD will focus on Innate Immune (Ii)- and Synapse (S)-related genetics that are tightly coupled to AD risk and are frequently manifested as distinct phenotypes early in the disease. We will employ integrated clinical scores, Ii and S polygenic scores, fluid (blood, cerebrospinal) and MRI biomarkers in advanced statistical modelling using machine learning and deep-learning techniques for Ii and S pathway- and stage -stratification. Furthermore, we will test candidate substances in established experimental models (incl. patient-derived neuron-microglia cultures), to stratify patient groups and perform early therapeutic interventions. Early-stage and pre-clinical trials require use of focused medical nutrition and repurposed drugs with established safety profiles. We will perform cost assessments of health and care-impacts, and trans-European implementation. PMI-AD partners are world-leaders in genetics, biomarker development, machine learning, clinical trials and health economy. PMI-AD will cooperate closely with user-representatives and patient advocate groups to ensure maximal AD prevention effects at a European level.",Universiteter,UoH-sektor,6815000,Tormod Fladby,Institutt for klinisk medisin,Oslo
311994,Ubiquitous Connectivity via Autonomous Airborne Networks,2021,2024,"While households in developed countries receive skyrocketing data rates through optical fibers and smartphones step into the 5G era, roughly one half of the world’s population cannot connect to the internet. Even beyond developing economies, the entire humanity would benefit from the capability of bringing data connectivity to areas where it cannot currently reach since it would drastically benefit applications such as the internet-of-things, smart agriculture/forestry, wildfire suppression, search-and-rescue missions, paramedical interventions, and emergency response handling to name a few. 

To address this need for ubiquitous connectivity, the 3GPP consortium, which develops the 5G standards, is regulating the integration between satellites and communication unmanned aerial vehicles (C-UAVs) to combine the benefits of the former, which provide low data rates in large areas, and the latter, which provide high data rates in smaller areas. C-UAVs are balloons, zeppelins, or multicopters with an onboard relay or base station that provides internet access to ground users by connecting to satellites, terrestrial base stations, or other C-UAVs; see Fig. 1.

For this technology to become a reality, key technological developments are still required. Particularly, existing systems are oblivious to the propagation conditions of each location. Instead, they rely on statistical characterizations of average scenarios that fail to capture the specifics of each propagation situation. This proposal targets a comprehensive set of algorithms and procedures for C-UAV systems to govern navigation and communication where the decision-making is aware of the radiofrequency (RF) environment and the user conditions. More specifically maps of the propagation channel are constructed based on measurements collected by ground users, C-UAVs, and (possibly) satellites. These maps are then utilized by C-UAVs to navigate and place themselves at positions with favorable propagation conditions.",Universiteter,UoH-sektor,12445000,Daniel Romero,FAKULTET FOR TEKNOLOGI OG REALFAG,Kristiansand
312009,MP: PrecX - Hyperlocal precipitation forecast everywhere in the world on a simple demand?,2020,2020,"The PrecX project will develop a forecast service that provides highly accurate, hyper-local, and on demand precipitation prediction everywhere in the world. PrecX will be a ready-to-go digital solution for hydropower-related companies to easily get a tailor-made precipitation forecast. Hydropower companies are dependent on the accuracy of hyper-local precipitation forecast as this is crucial information used to establish the inflow of water to rivers or reservoirs, consequently establishing the right pricing of produced electricity. The energy market is increasingly digital, and PrecX will be a lower cost solution that provides accurate forecasts based on deep learning combining different data sources.

This milestone project will prepare PrecX for full-scale development, and address the R&D challenges of making an operationally viable deep learning based forecast, as well as investigate the potential business model for PrecX.",Miljøinstitutter,Instituttsektor,498560,Jean-Marie Lepioufle,NILU - STIFTELSEN NORSK INSTITUTT FOR LUFTFORSKNING,Lillestrøm
312041,E!113653 Apollo: real-time AI for brain MRI radiology workflow optimization,2020,2023,"This project supports the development of the deep learning-based Apollo software, providing real-time AI medical
guidance and decision support in brain MRI scanning to improve the workflow in radiology and ensure that
attention is brought to images with potential indications of pathologies. The key functions of Apollo (Smart Protocol,
Image Reporter and Triage Advisor) will be developed to improve productivity and reach a clinically relevant
accuracy across 95% of all brain diseases diagnosed.",Helse Sør-Øst RHF,Helseforetak,1984000,Atle Bjørnerud,OSLO UNIVERSITETSSYKEHUS HF,Oslo
312044,SuSTech – Sustainability by Technology - Enabling Industry 4.0 Tech. in European SME’s through cluster facilitated cooperation.,2020,2020,"Using the new technologies in manufacturing enables businesses to be more efficient, improve product quality, reduce downtime and take better decisions based on real time information. Increased customer demand, customization and personalization of products require integrated processes and increased utilization of robotics and smart machines. Use of machine learning and AI is important for developing the business models. At the same time as technology can make traditional manufacturing smart and even more efficient, it also opens up possibilities for businesses to set up advanced production at a fraction of the cost known from traditional manufacturing, thus making production of sustainable personalized products for a local or regional market a possibility. 

The ultimate goal of the industrial system must be to work within the ability of the planet to offer its raw materials of energy, water, material etc. The alternative cannot be sustained. What trend future manufacturing will follow also depends on the availability of a skilled workforce and working for traditional manufacturing companies without a clear purpose is not on the priority list for new employees. A transition from linear to circular models for both goods and services should be focus throughout the process.

This is the SusTech Consortium: 

No. Role/skill required Participant organisation name
1 Coordinator          NCE iKuben
2 R&D                          University of Cambridge, IfM
3 R&D TBA:                  Fraunhofer 
4 LSD/big prints          MX3D (SME)
5 LSD/big prints           RAMLAB (SME)
6 Material input          Eyde Cluster
7 Applied AI                 Smart Innovation Norway 
8 Cutting edge – copper AM EFFEE (SME)
9 AI & Industry 4.0 ClujIT
10    Material input            MAI Carbon Cluster Germany",Øvrige andre,Øvrige,117581,Christian Strømmen,IKUBEN,Molde
312045,Intelligent systems for personalized and precise risk prediction and diagnosis of non-communicable diseases,2021,2024,"This project will create intelligent systems for personalized and precise risk prediction and diagnosis of non-communicable diseases using multi-omics data, by developing, implementing and validating novel algorithms for structure learning and inference in large-scale, multi-organ causal Bayesian gene networks, based on computational methods that we have developed previously to infer, characterize and validate gene regulatory networks in complex diseases.

Risk prediction algorithms are used to identify high-risk patients for early intervention to reduce the premature mortality from non-communicable diseases,  but we have yet to discover models that can integrate the tens of thousands of data points that can be measured by omics technologies in a single drop of blood.

To distinguish causation from correlation in multi-omics data we will develop non-parametric models for causal inference between tens of thousands of variables.

To link multi-omics causal networks from multiple organs to disease states we will develop novel algorithms for large-scale Bayesian network structure learning.

To create intelligent systems for risk prediction and diagnosis of non-communicable diseases that only use blood-based measurements we will develop efficient methods for inference in large-scale Bayesian networks.

To implement a proof-of-concept application in cardiovascular medicine we will apply newly developed methods on a unique resource of multi-omics data from more than twenty thousand Nordic individuals to which the project will have privileged access.

This project is an international and interdisciplinary collaboration in bioinformatics, systems biology, computer engineering, machine learning and cardiovascular medicine that will deliver a well-validated and scalable platform to create intelligent systems for personalized and precise risk prediction and diagnosis of non-communicable diseases that will identify high risk individuals more accurately than existing methods.",Universiteter,UoH-sektor,12807000,Tom Luk Robert Michoel,Institutt for informatikk,Bergen
312062,ML4ITS - Machine Learning for Irregular Time Series,2021,2024,"Time series data are ubiquitous. The broad diffusion and adoption of Internet of Things, and major advances in sensor technology are examples of why such data have become pervasive. These technologies have applications in several domains, such as healthcare, finance, meteorology and transportation, for solving related tasks on time series. Deep Neural Networks have recently been used to create models that improve on the state of the art for some of these tasks. 
In some scenarios obtaining a training set that matches the feature space and predicted data distribution characteristics of the test set can be time consuming, difficult and expensive. Thus, there is a need for focusing on modern AI techniques that can extract value from small and irregular data. These considerations can also contribute to conform with the increasing need to address the sustainability and privacy aspects of ML and AI.
The goal of this project is to overcome the issue of limited available or labelled data in the time series domain, where the heterogeneity of the data, e.g. non-stationarity, multi-resolution, irregular sampling, poses a further challenge. ML4ITS's main objective is to advance the state-of-the-art in time series analysis for 'irregular' time series data (see explicit definition of 'irregular time series' in the proposal). We plan to achieve these goals and tackling the 'robustness' challenge,  by developing novel A) Transfer Learning and B) Unsupervised learning and Data Augmentation methods. These techniques have hardly been explored in the time series domain. 
We relies on a multidisciplinary study combining different perspectives from the three main scientific communities involved in time series analysis. As a result, the consortium has been composed with this complementarity in mind including researchers across these different fields (IES, MATH, IDI).",Universiteter,UoH-sektor,15555000,Massimiliano Ruocco,Institutt for datateknologi og informatikk,Trondheim
312173,The first workshop on Artificial Intelligence & Data science for Arctic: AIDingArctic,2020,2022,"There are extreme challenges unique to the Norwegian Arctic, from activities in remote Arctic locations to Arctic data collection and monitoring. There is a strong need to direct AI applications towards solving Arctic challenges that are important for Norway and the world (e.g., marine pollution or irresponsible exploration of ocean resources in the Arctic). This is no longer a stand-alone IT and/or IoT challenge. 

This workshop is first of its kind in Norway. It will bring together a rare combination of skilled experts from different fields with a passion for IKT, science, engineering, Arctic, and who are motivated to learn across disciplines to address Arctic challenges including data acquisition and quality, marine pollution, overfishing, irresponsible ocean exploration, unsustainable utilization of ocean space among others. Our ambition is to bring world-leading AI experts (Europe, USA, Canada) to Norway and expose them to the cold region's challenges within a quadruple helix environment (industry, government, academia, and users/civil society).

NTNU is a home for the world-leading Arctic Engineering team (SAMCoT). Department of Marine Technology is a part of the largest civilian research center in the Western World and among the world's top in the Marine Technology field. Together with the Norwegian Open Artificial Intelligence Lab (NAIL), Norwegian Center of Responsible Research and Innovation (RRI), and the external Arctic Data and Science partners: Svalbard Integrated Arctic Earth Observing System, Arctic, NPI, UiB, UiO, and UNIS (will be officially invited if the funding is secured), we constitute a strong knowledge conglomerate of attraction for motivated world's top AI developers from outside Norway.",Universiteter,UoH-sektor,100000,Ekaterina Kim,Institutt for marin teknikk,Trondheim
